name,model,price,country,mileage,registration,transmission,power,fueltype,Citigo,Enyaq iV,Fabia,Kamiq,Karoq,Kodiaq,Octavia,Rapid,Scala,Superb,Yeti,Automat,Manuál,Benzín,CNG,Diesel,Elektřina,Hybrid,LPG,Ostatní paliva
Skoda Superb 1.4 TSI Green Tec ACT Ambition 110 kW,Superb,545990,Německo,99600,2018,Automat,110,Benzín,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.0 TSI 85 kW,Scala,460990,Španělsko,34997,2020,Manuál,85,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TDI DSG Ambition 110 kW,Kodiaq,881490,Německo,24297,2021,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Rapid 66 kW,Rapid,202490,Polsko,140418,2017,Manuál,66,Diesel,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Superb 147 kW,Superb,1061990,Německo,13818,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Scala Style 110 kW,Scala,622990,Německo,29256,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala Style 110 kW,Scala,666990,Německo,21100,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1074990,Německo,25843,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala 1.6 TDI DSG Ambition 85 kW,Scala,554990,Itálie,19800,2021,Automat,85,Diesel,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Skoda Rapid 81 kW,Rapid,281490,Polsko,82026,2017,Manuál,81,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 2.0 TDI Green Tec Ambition 110 kW,Superb,509490,Španělsko,44464,2018,Manuál,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Soleil 140 kW,Kodiaq,1018490,Německo,26100,2020,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.5 TSI DSG Style 110 kW,Scala,572490,Německo,25000,2019,Automat,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala Style 110 kW,Scala,615490,Německo,4386,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Fabia 1.0 TSI Style 70 kW,Fabia,437490,Belgie,9913,2021,Manuál,70,Benzín,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TDI 4x4 DSG Ambition 110 kW,Kodiaq,726990,Německo,50257,2018,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
